#MCPC Serial Number:9
#firmware=5.20
#mfgdate=16/6/2
#smpslop=285 
#smpoffs=411 
#satslop=292 
#satoffs=405 
#cal_tmp=22.9 
#coincid=3350 
#cs_diff=25.0
#prsslop=317 
#prsoffs=135 
#anlgcal=128
#
#YY/MM/DD	HR:MN:SC	aveconc	concent	rawconc	cnt_sec	condtmp	satttmp	satbtmp	optctmp	inlttmp	smpflow	satflow	pressur	condpwr	sattpwr	satbpwr	optcpwr	satfpwr	fillcnt	err_num
17/12/08	10:24:39	7256.50	7148.00	6999.00	42603	20.0	45.0	45.1	30.1	21.4	365	366	980	238	57	27	29	48	1744	256
17/12/08	10:24:40	7222.80	7097.00	6950.00	42300	20.0	45.0	45.1	30.1	21.4	364	366	980	238	57	27	29	48	1746	256
17/12/08	10:24:41	7190.80	7192.00	7042.00	42847	20.0	45.0	45.1	30.1	21.4	365	366	980	238	57	27	29	48	1748	256
17/12/08	10:24:42	7164.90	7167.00	7017.00	42718	20.0	45.0	45.1	30.1	21.4	365	366	980	238	57	27	29	48	1750	256
17/12/08	10:24:43	7149.70	7135.00	6986.00	42578	20.0	45.0	45.1	30.1	21.4	365	366	980	238	57	27	29	48	1752	256
17/12/08	10:24:44	7153.80	7208.00	7057.00	42957	20.1	45.1	45.1	30.1	21.4	365	366	980	238	57	54	58	48	1754	256
17/12/08	10:24:45	7177.50	7274.00	7120.00	43340	20.1	45.1	45.1	30.1	21.4	364	366	980	238	57	54	58	48	1756	256
17/12/08	10:24:46	7204.60	7286.00	7131.00	43338	20.0	45.1	45.1	30.1	21.4	364	366	980	238	28	27	29	48	1758	256
17/12/08	10:24:47	7220.50	7232.00	7080.00	43050	20.0	45.1	45.1	30.1	21.4	364	366	980	238	28	27	29	48	1760	256
17/12/08	10:24:48	7238.10	7246.00	7093.00	43136	20.0	45.1	45.2	30.1	21.4	365	366	980	238	28	0	29	48	1762	256
17/12/08	10:24:49	7252.10	7237.00	7085.00	43130	20.1	45.1	45.1	30.2	21.4	365	366	980	238	57	54	29	48	1764	256
17/12/08	10:24:50	7247.50	7199.00	7048.00	42923	20.0	45.1	45.2	30.2	21.4	365	366	980	238	28	0	0	48	1766	256
